WellName,EventCode,Event_ID,API,Objective,ProjectNumber,StartDate,EndDate,Asset,Failure_Location,Root_Cause
CG ROAD UNIT 35-10D,WO,Idg6b,4903729253,CLEAN OUT - SWAB,NULL,7/5/2017,7/5/2017,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,KPeBH,4903729253,CLEAN OUT - SWAB,1000546911_7883_3729,8/15/2016,8/19/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,lZv4F,4903729253,CLEAN OUT - SWAB,1000546911_7883_3729,8/15/2016,8/15/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,nVThg,4903729253,CLEAN OUT - SWAB,1000546911_7883_3729,6/29/2016,6/29/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,P6Ahf,4903729253,CLEAN OUT - SWAB,1000546911_7883_3729,9/23/2016,9/24/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,Yvvoi,4903729253,CLEAN OUT - SWAB,1000546911_7883_3729,4/13/2016,4/14/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,sb7Jp,4903729253,CLEAN OUT - SWAB,X4-013RW-E:CGR35_10D,12/13/2016,12/15/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,2imBI,4903729253,CLEAN OUT - SWAB,X4-013RW-E:CGRU35_10,10/31/2016,11/4/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,UgE6J,4903729253,CLEAN OUT - SWAB,X4-01470-E:CG35_10D,6/23/2017,6/23/2017,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,XeEcg,4903729253,CLEAN OUT - SWAB,X4-01470-E:CG35_10D,6/29/2017,6/29/2017,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,R6QVf,4903729253,CLEAN OUT - SWAB,X4-01470-E:CGR35_10D,3/24/2017,3/24/2017,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,mo8Fs,4903729253,CLEAN OUT - SWAB,X401470-E:CGU35_10D,5/25/2017,5/25/2017,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,56IjE,4903729253,PLUNGER LIFT REPAIR,1000546911_7880_3729,6/2/2016,6/2/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,CcrNo,4903729253,TREATMENT - ACID,1000546911_8100_3729,6/13/2016,6/17/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 35-10D,WO,G04aQ,4903729253,TUBING REPAIR,X4-01437,3/5/2017,3/15/2017,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-150D,SLK,erFX1,4903729109,CLEAN OUT - SWAB,1000765990,10/17/2017,10/17/2017,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,SLK,w4kE4,4903729109,CLEAN OUT - SWAB,1000765990,3/27/2018,3/23/2018,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,aiwSa,4903729109,CLEAN OUT - SWAB,NULL,12/8/2017,12/9/2017,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,ss89a,4903729109,CLEAN OUT - SWAB,NULL,7/6/2017,7/7/2017,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,2Zh51,4903729109,CLEAN OUT - SWAB,1000765990_7880_3729,9/25/2016,9/25/2016,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,1jGtc,4903729109,CLEAN OUT - SWAB,1000765990_7883_3729,4/15/2016,4/15/2016,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,eso0J,4903729109,CLEAN OUT - SWAB,1000765990_7883_3729,6/11/2016,6/22/2016,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,eyQLT,4903729109,CLEAN OUT - SWAB,1000765990_7883_3729,6/1/2016,6/2/2016,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,npqG6,4903729109,CLEAN OUT - SWAB,1000765990_7883_3729,7/25/2016,7/29/2016,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,ZIMRW,4903729109,CLEAN OUT - SWAB,1000765990_7883_3729,10/21/2016,10/21/2016,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,AuWRe,4903729109,CLEAN OUT - SWAB,X4-013RW-E:CGRU36_15,11/23/2016,11/23/2016,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,mZp7T,4903729109,CLEAN OUT - SWAB,X4-01470-E:CGRD36_15,6/26/2017,6/26/2017,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,QCjCJ,4903729109,CLEAN OUT - SWAB,X4-01470-E:CGRD36_15,6/15/2017,6/15/2017,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,ijScV,4903729109,PLUNGER LIFT REPAIR,1000765990_7880_3729,9/22/2016,9/22/2016,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,b5g5B,4903729109,SURVEILLANCE,NULL,11/18/2017,11/18/2017,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,pifCE,4903729109,SURVEILLANCE,X4-013RW-E:CGR36_150,2/16/2017,2/16/2017,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-150D,WO,gTdkd,4903729109,SURVEILLANCE,X4-01472-E:CG36_150D,8/9/2017,8/9/2017,East,PADDED PLUNGER,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,LK3x0,4903729105,CLEAN OUT - SWAB,NULL,3/28/2017,4/17/2017,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,LK3x0,4903729105,CLEAN OUT - SWAB,NULL,3/28/2017,4/17/2017,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,e2EFt,4903729105,CLEAN OUT - SWAB,1000765966_7883_3729,6/29/2016,6/29/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,e2EFt,4903729105,CLEAN OUT - SWAB,1000765966_7883_3729,6/29/2016,6/29/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,gHAlR,4903729105,CLEAN OUT - SWAB,1000765966_7883_3729,4/15/2016,4/18/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,gHAlR,4903729105,CLEAN OUT - SWAB,1000765966_7883_3729,4/15/2016,4/18/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,k5wo2,4903729105,CLEAN OUT - SWAB,1000765966_7883_3729,9/8/2016,9/8/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,k5wo2,4903729105,CLEAN OUT - SWAB,1000765966_7883_3729,9/8/2016,9/8/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,k6IBw,4903729105,CLEAN OUT - SWAB,1000765966_7883_3729,8/17/2016,8/24/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,k6IBw,4903729105,CLEAN OUT - SWAB,1000765966_7883_3729,8/17/2016,8/24/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,61AoK,4903729105,CLEAN OUT - SWAB,X4-013RW-E:CGR36_50D,2/17/2017,2/17/2017,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,61AoK,4903729105,CLEAN OUT - SWAB,X4-013RW-E:CGR36_50D,2/17/2017,2/17/2017,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,ZloSg,4903729105,CLEAN OUT - SWAB,X4-01470-E:CGR_36_50,8/1/2017,8/1/2017,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,ZloSg,4903729105,CLEAN OUT - SWAB,X4-01470-E:CGR_36_50,8/1/2017,8/1/2017,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,Osuui,4903729105,PLUNGER LIFT REPAIR,NULL,1/22/2018,1/22/2018,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,Osuui,4903729105,PLUNGER LIFT REPAIR,NULL,1/22/2018,1/22/2018,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,2GkkR,4903729105,PLUNGER LIFT REPAIR,1000765966_7880_3729,10/14/2016,10/14/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,2GkkR,4903729105,PLUNGER LIFT REPAIR,1000765966_7880_3729,10/14/2016,10/14/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,gQeCX,4903729105,PLUNGER LIFT REPAIR,1000765966_7880_3729,6/3/2016,6/3/2016,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,gQeCX,4903729105,PLUNGER LIFT REPAIR,1000765966_7880_3729,6/3/2016,6/3/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,o3Uht,4903729105,SURVEILLANCE,X4-01472-E:CG36_50D,8/10/2017,8/10/2017,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,o3Uht,4903729105,SURVEILLANCE,X4-01472-E:CG36_50D,8/10/2017,8/10/2017,East,TUBING,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,3f4Pf,4903729105,TUBING DEPTH CHANGE,NULL,3/14/2018,NULL,East,NULL,OPTIMIZATION
CG ROAD UNIT 36-50D,WO,3f4Pf,4903729105,TUBING DEPTH CHANGE,NULL,3/14/2018,NULL,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-100D,WO,iZogF,4903729031,CLEAN OUT - SWAB,X-4-01477,6/29/2017,6/29/2017,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-100D,WO,3gJW5,4903729031,PLUNGER LIFT REPAIR,1000754408_7880_3729,9/13/2016,9/13/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-100D,WO,87rp0,4903729031,TUBING DEPTH CHANGE,X4-013QV,11/11/2016,11/16/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-130D,WO,uPtUC,4903729032,CLEAN OUT - SWAB,1000754473_7883_3729,7/31/2016,8/1/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-130D,WO,CRPAd,4903729032,CLEAN OUT - SWAB,X4-013RW-E:CGRU4_130,11/22/2016,11/23/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-130D,WO,tDFfy,4903729032,PLUNGER LIFT REPAIR,1000754473_7880_3729,9/13/2016,9/14/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-130D,WO,h8KV8,4903729032,TUBING DEPTH CHANGE,X4-013V1,11/8/2016,11/15/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-150D,WO,Ecdbu,4903729030,PLUNGER LIFT REPAIR,1000754432_7880_3729,9/13/2016,9/13/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-150D,WO,QcEHO,4903729030,TUBING DEPTH CHANGE,X4-013TY,11/10/2016,11/15/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-30D,WO,eV413,4903729029,CLEAN OUT - SWAB,X4-013RW-E:CFRU4_30D,11/22/2016,11/22/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-30D,WO,ScH1E,4903729029,PLUNGER LIFT REPAIR,1000754408_7880_3729,9/15/2016,9/15/2016,East,TUBING,OPTIMIZATION
CG ROAD UNIT 4-30D,WO,PwH7s,4903729029,TUBING DEPTH CHANGE,X4-013V0,11/4/2016,11/15/2016,East,TUBING,OPTIMIZATION
CHAMPLIN 254 B 100D,WO,4E9Xl,4903728252,CLEAN OUT - SWAB,X4-013RW-E:CH254B100,1/26/2017,1/27/2017,West,NULL,OPTIMIZATION
CHAMPLIN 254 B 100D,WO,K5T4U,4903728252,SURVEILLANCE,1000236307,3/19/2018,3/19/2018,West,NULL,OPTIMIZATION
CHAMPLIN 254 B 100D,WO,W4eFl,4903728252,TUBING REPAIR,NULL,3/28/2018,4/9/2018,West,NULL,OPTIMIZATION
CHAMPLIN 261 H-10D,WO,dF6ux,4900723429,CLEAN OUT - SWAB,X4-01470-E:CH261H10,4/10/2017,4/10/2017,West,NULL,OPTIMIZATION
CHAMPLIN 261 H-10D,WO,mcd2s,4900723429,WELLHEAD REPAIR,NULL,3/28/2018,4/2/2018,West,NULL,OPTIMIZATION
CHAMPLIN 337 A-13,WO,k7M8e,4903726495,CLEAN OUT - SWAB,X4-013RW-E:CH337A13,2/10/2017,2/10/2017,West,NULL,OPTIMIZATION
CHAMPLIN 337 A-13,WO,4Lh8P,4903726495,SURVEILLANCE,NULL,1/9/2018,1/10/2018,West,NULL,OPTIMIZATION
CHAMPLIN 345 B 10D,WO,HmkZ6,4903728720,PLUNGER LIFT REPAIR,X4-013RP-E:CH345B10D,1/13/2017,1/13/2017,East,NULL,OPTIMIZATION
CHAMPLIN 443 B 31-160D,WO,hGAyO,4903729154,PLUNGER LIFT REPAIR,1000763185_7880_3729,8/26/2016,8/26/2016,West,STANDING VALVE,OPTIMIZATION
CHAMPLIN 443 B 31-160D,WO,KZnV4,4903729154,SURVEILLANCE,X4-01482-E:C443B_160,9/6/2017,9/6/2017,West,STANDING VALVE,OPTIMIZATION
CHAMPLIN 443 B 31-160D,WO,upakO,4903729154,TUBING INSPECTION,X4-01500,9/8/2017,9/12/2017,West,STANDING VALVE,OPTIMIZATION
CHAMPLIN 452 C 120D,WO,0fNrj,4903728810,CLEAN OUT,NULL,3/8/2018,3/9/2018,East,BYPASS PLUNGER,OPTIMIZATION
CHAMPLIN 452 C 120D,WO,Gc3Mk,4903728810,PLUNGER LIFT REPAIR,1000763920_7880_3728,10/4/2016,10/4/2016,East,BYPASS PLUNGER,OPTIMIZATION
CHAMPLIN 452 C 120D,WO,AEutt,4903728810,SURVEILLANCE,NULL,1/9/2018,1/10/2018,East,BYPASS PLUNGER,OPTIMIZATION
CHAMPLIN 452 C 120D,WO,sBcpk,4903728810,SURVEILLANCE,NULL,3/8/2018,3/9/2018,East,BYPASS PLUNGER,OPTIMIZATION
CHAMPLIN 452 C 120D,WO,XaVVE,4903728810,SURVEILLANCE,NULL,1/5/2018,1/6/2018,East,BYPASS PLUNGER,OPTIMIZATION
CHAMPLIN 452 C 130D,WO,0Qvde,4903728808,PLUNGER LIFT REPAIR,1000763938_7880_3728,7/12/2016,7/12/2016,East,BYPASS PLUNGER,OPTIMIZATION
CHAMPLIN 452 C 130D,WO,GBfXS,4903728808,PLUNGER LIFT REPAIR,1000763938_7880_3728,10/4/2016,10/4/2016,East,BYPASS PLUNGER,OPTIMIZATION
CHAMPLIN 452 C 150D,WO,T0VNm,4903728809,PLUNGER LIFT REPAIR,1000763946_7880_3728,7/11/2016,7/11/2016,East,PACEMAKER PLUNGER,OPTIMIZATION
CHAMPLIN 452 C 150D,WO,WtGnk,4903728809,PLUNGER LIFT REPAIR,1000763946_7880_3728,10/7/2016,10/7/2016,East,PACEMAKER PLUNGER,OPTIMIZATION
CHAMPLIN 559 C 60D,WO,ycOqP,4900724163,PLUNGER LIFT REPAIR,X4-013RP-E:CH559C60D,12/13/2016,12/13/2016,East,NULL,OPTIMIZATION
COAL BANK 15-5,WO,PBDuu,4900723245,PLUNGER LIFT REPAIR,X4-013RP-E:CB15_5,1/11/2017,1/11/2017,East,BYPASS PLUNGER,OPTIMIZATION
COAL BANK 5-140D,WO,kYZuR,4900724012,CLEAN OUT - SWAB,X4-01470-E,7/13/2017,7/14/2017,East,PACEMAKER PLUNGER,OPTIMIZATION
COAL BANK 5-140D,WO,dRN2F,4900724012,PLUNGER LIFT REPAIR,NULL,6/30/2017,6/30/2017,East,PACEMAKER PLUNGER,OPTIMIZATION
DELANEY RIM 23-150D,WO,ui5XX,4903728529,CLEAN OUT - SWAB,X4-01470-E:DR23_150,4/6/2017,4/6/2017,West,NULL,OPTIMIZATION
DELANEY RIM 23-150D,WO,AJdYk,4903728529,GAS LIFT INSTALL,X4-014LX,7/9/2017,7/17/2017,West,NULL,OPTIMIZATION
DELANEY RIM 23-150D,WO,h8lsv,4903728529,PLUNGER LIFT INSTALL - STAGED,X4-013RP-E:DR23_150D,11/17/2016,11/17/2016,West,NULL,OPTIMIZATION
DELANEY RIM 23-50D,SLK,UGVUX,4903728534,SURVEILLANCE,X4-01472-E:DR23_50D,9/18/2017,9/18/2017,West,PACEMAKER PLUNGER,OPTIMIZATION
DELANEY RIM 23-50D,WO,HMsJF,4903728534,CLEAN OUT - SWAB,X4-01470-E:DR23_50D,3/30/2017,3/30/2017,West,PACEMAKER PLUNGER,OPTIMIZATION
DELANEY RIM 23-50D,WO,0LdTP,4903728534,SURVEILLANCE,NULL,9/18/2017,9/18/2017,West,PACEMAKER PLUNGER,OPTIMIZATION
DELANEY RIM 23-50D,WO,0nQlB,4903728534,SURVEILLANCE,X4-01472-E:DR23_50,9/15/2017,9/15/2017,West,PACEMAKER PLUNGER,OPTIMIZATION
FIVEMILE 31-130D,SLK,1P31y,4903729093,CLEAN OUT - SWAB,1000756106,11/13/2017,11/13/2017,East,NULL,OPTIMIZATION
FIVEMILE 31-130D,SLK,HvKo7,4903729093,CLEAN OUT - SWAB,1000756106,8/23/2017,8/23/2017,East,NULL,OPTIMIZATION
FIVEMILE 31-130D,WO,bKwjo,4903729093,CLEAN OUT - SWAB,NULL,2/7/2017,2/7/2017,East,NULL,OPTIMIZATION
FIVEMILE 31-130D,WO,sD9qy,4903729093,CLEAN OUT - SWAB,1000756106_7883_3729,9/2/2016,9/2/2016,East,NULL,OPTIMIZATION
FIVEMILE 31-130D,WO,EDvFC,4903729093,CLEAN OUT - SWAB,X4-013RW-E:FM_31_130,1/11/2017,1/14/2017,East,NULL,OPTIMIZATION
FIVEMILE 31-130D,WO,CHKSi,4903729093,CLEAN OUT - SWAB,X4-013RW-E:FM31_130D,1/4/2017,1/4/2017,East,NULL,OPTIMIZATION
FIVEMILE 31-130D,WO,PU0H4,4903729093,CLEAN OUT - SWAB,X4-013RW-E:FM31_130D,12/6/2016,12/6/2016,East,NULL,OPTIMIZATION
FREWEN 7-120D,SLK,4E5Mg,4903728064,CLEAN OUT - SWAB,1000575993,1/29/2018,2/12/2018,West,NULL,OPTIMIZATION
FREWEN 7-120D,WO,gPK8J,4903728064,CLEAN OUT - SWAB,1000595993_7883_3728,5/29/2016,5/30/2016,West,NULL,OPTIMIZATION
FREWEN 7-120D,WO,KGJ6V,4903728064,CLEAN OUT - SWAB,1000595993_7883_3728,4/6/2016,4/6/2016,West,NULL,OPTIMIZATION
FREWEN 7-120D,WO,UQUlU,4903728064,CLEAN OUT - SWAB,X4-013RW-E:FW7_120D,2/7/2017,2/9/2017,West,NULL,OPTIMIZATION
FREWEN 7-120D,WO,bZYjH,4903728064,PLUNGER LIFT INSTALL,NULL,10/20/2017,10/20/2017,West,NULL,OPTIMIZATION
FREWEN 7-120D,WO,EqWhA,4903728064,SURVEILLANCE,NULL,9/7/2017,9/7/2017,West,NULL,OPTIMIZATION
FREWEN 7-120D,WO,o9BsL,4903728064,TUBING REPAIR,NULL,12/21/2017,1/25/2018,West,NULL,OPTIMIZATION
HIGH POINT 27-120,WO,Eahp1,4900723666,SURVEILLANCE,X4-013RT-E:HP27_120,11/19/2016,11/19/2016,East,BYPASS PLUNGER,OPTIMIZATION
LANEY WASH 33-1,WO,FRFsM,4903725926,PLUNGER LIFT REPAIR,X4-013RP-E:LW33_1,2/16/2017,2/16/2017,West,BUMPER SPRING,OPTIMIZATION
LATHAM DRAW 11-160H,WO,9TnLk,4903726946,CLEAN OUT - SWAB,1000594762_7883_3726,4/11/2016,4/12/2016,East,NULL,OPTIMIZATION
LATHAM DRAW 11-160H,WO,aZ8Di,4903726946,CLEAN OUT - SWAB,1000594762_7883_3726,9/28/2016,9/29/2016,East,NULL,OPTIMIZATION
LATHAM DRAW 11-160H,WO,tBvPF,4903726946,CLEAN OUT - SWAB,X4-013RW-E:LD11_160H,1/3/2017,1/3/2017,East,NULL,OPTIMIZATION
LATHAM DRAW 11-160H,WO,U1vdA,4903726946,CLEAN OUT - SWAB,X4-013RW-E:LDW11_160,2/20/2017,2/21/2017,East,NULL,OPTIMIZATION
LATHAM DRAW 11-160H,WO,fOugv,4903726946,CLEAN OUT - SWAB,X4-01470-E:LD_11_160,5/31/2017,5/31/2017,East,NULL,OPTIMIZATION
LATHAM DRAW 11-160H,WO,qXRrI,4903726946,CLEAN OUT - SWAB,X4-01470-E:LD_11_160,5/26/2017,5/26/2017,East,NULL,OPTIMIZATION
LATHAM DRAW 11-160H,WO,uUNKw,4903726946,CLEAN OUT - SWAB,X4-01470-E:LD_11_160,5/30/2017,5/30/2017,East,NULL,OPTIMIZATION
SIBERIA 3-160D,SLK,twtHF,4903729147,CLEAN OUT - SWAB,X4-01470-E:SB_3160D,8/29/2017,8/29/2017,East,TUBING,OPTIMIZATION
SIBERIA 3-160D,WO,fjXwd,4903729147,CLEAN OUT - SWAB,X4-013RW-E:S3_160D,2/6/2017,2/6/2017,East,TUBING,OPTIMIZATION
SIBERIA 3-160D,WO,htgej,4903729147,CLEAN OUT - SWAB,X4-01470-E:SB3_160D,6/19/2017,6/19/2017,East,TUBING,OPTIMIZATION
SIBERIA 3-160D,WO,3VmZd,4903729147,SURVEILLANCE,X4-013RT-E:S3_160D,12/21/2016,12/21/2016,East,TUBING,OPTIMIZATION
SIBERIA RIDGE 1-3,WO,8lBbB,4903725112,CLEAN OUT - SWAB,X4-013RW-E:SR1_3,2/2/2017,2/3/2017,East,NULL,OPTIMIZATION
SIBERIA RIDGE 1-3,WO,wSdUG,4903725112,CLEAN OUT-SWAB,1000343541_7883_3725,9/3/2016,9/6/2016,East,NULL,OPTIMIZATION
SIBERIA RIDGE 1-3,WO,jiF5r,4903725112,WELLHEAD REPAIR,X4-01578,12/11/2017,12/20/2017,East,NULL,OPTIMIZATION
SIBERIA RIDGE 27-4,WO,I2CLf,4903723480,PLUNGER LIFT REPAIR,X4-01472-E:SR27_4,6/29/2017,6/29/2017,East,TUBING,OPTIMIZATION
SIBERIA RIDGE 27-4,WO,ucFJb,4903723480,PLUNGER LIFT REPAIR,X4-01472-E:SR27_4,7/21/2017,7/21/2017,East,TUBING,OPTIMIZATION
SOURDOUGH 33-110D,WO,iNgNe,4903728732,PLUNGER LIFT INSTALL,X4-01472-E:SD33_110D,4/25/2017,4/27/2017,East,NULL,OPTIMIZATION
SOURDOUGH 33-110D,WO,LlWpK,4903728732,PLUNGER LIFT REPAIR,NULL,5/26/2017,5/27/2017,East,NULL,OPTIMIZATION
SOURDOUGH 33-110D,WO,01N7H,4903728732,PLUNGER LIFT REPAIR,1000717694_7880_3728,10/13/2016,10/13/2016,East,NULL,OPTIMIZATION
SOURDOUGH 33-110D,WO,3AUHe,4903728732,TUBING REPAIR,X4-01439,2/13/2017,2/17/2017,East,NULL,OPTIMIZATION
TWO RIM UNIT 20-4,WO,WUwTg,4903724618,PLUNGER LIFT REPAIR,X4-013RP-E:TRU_20_4,2/16/2017,2/16/2017,West,NULL,OPTIMIZATION
TWO RIM UNIT 30-130D,WO,HqnwF,4903729286,TUBING REPAIR,X4-014T2,7/17/2017,7/20/2017,West,STANDING VALVE,OPTIMIZATION
CHAMPLIN 443 B 31-70D,WO,2yvUb,4903729153,CLEAN OUT - SWAB,1000763169_7883_3729,5/2/2016,5/3/2016,West,BUMPER SPRING,PARAFFIN
CHAMPLIN 443 B 31-70D,WO,JfuNf,4903729153,CLEAN OUT - SWAB,X4-01470-E:C443B1_70,4/4/2017,4/4/2017,West,BUMPER SPRING,PARAFFIN
CHAMPLIN 443 B 31-70D,WO,J9eGC,4903729153,PLUNGER LIFT REPAIR,X4-013RP-E:C443B3170,2/10/2017,2/10/2017,West,BUMPER SPRING,PARAFFIN
CHAMPLIN 443 B 31-70D,WO,N5GXR,4903729153,TUBING REPAIR,X4-0149D,3/17/2017,3/24/2017,West,BUMPER SPRING,PARAFFIN
FREWEN 23-40D,WO,RLbne,4903728039,ROD PUMP INSTALL,X4-012QJ,4/19/2016,4/24/2016,West,NULL,PARAFFIN
FREWEN 23-40D,WO,RnTQY,4903728039,ROD PUMP REPAIR,000559302_6751_37280,9/12/2016,9/12/2016,West,NULL,PARAFFIN
FREWEN 23-40D,WO,vnX0A,4903728039,ROD PUMP REPAIR,1000559302_6751_3728,6/27/2016,8/31/2016,West,NULL,PARAFFIN
LUMAN 19-2,WO,0ymeY,4903725430,ROD PUMP CHANGE,X4-013HY,9/1/2016,9/16/2016,East,PLUNGER,PARAFFIN
LUMAN 19-2,WO,3yhha,4903725430,ROD PUMP REPAIR,1000803901_6751_3725,3/22/2016,3/30/2016,East,PLUNGER,PARAFFIN
LUMAN 29-2,WO,L8Ykc,4903725773,ROD PUMP REPAIR,1000550814_6751_3725,3/25/2016,4/1/2016,East,PLUNGER,PARAFFIN
LUMAN 29-2,WO,5n1aK,4903725773,ROD PUMP REPAIR,X4-013J0,9/13/2016,9/14/2016,East,PLUNGER,PARAFFIN
EIGHTMILE 7-90,WO,StSKv,4900723400,ROD PUMP REPAIR,X4-012TL,7/7/2016,8/17/2016,West,NULL,ROD WEAR
EIGHTMILE 7-90,WO,TanXW,4900723400,ROD PUMP REPAIR,X4-013YH,12/20/2016,12/22/2016,West,NULL,ROD WEAR
CHAMPLIN 293 A #2,WO,mZowM,4903723595,COIL TUBING REPLACEMENT (W/ TBG),X4-012YJ,6/24/2016,7/6/2016,West,STANDING VALVE,RUNNING PRACTICES
CHAMPLIN 293 A #2,WO,X24cR,4903723595,PLUNGER LIFT REPAIR,NULL,11/3/2017,11/3/2017,West,STANDING VALVE,RUNNING PRACTICES
CHAMPLIN 293 A #2,WO,CwHob,4903723595,SURVEILLANCE,NULL,11/4/2017,11/5/2017,West,STANDING VALVE,RUNNING PRACTICES
CHAMPLIN 293 A #2,WO,oKT8Q,4903723595,SURVEILLANCE,X4-013RT-E:CH293A_2,11/10/2016,11/10/2016,West,STANDING VALVE,RUNNING PRACTICES
EIGHTMILE 7-90,WO,StSKv,4900723400,ROD PUMP REPAIR,X4-012TL,7/7/2016,8/17/2016,West,NULL,RUNNING PRACTICES
EIGHTMILE 7-90,WO,TanXW,4900723400,ROD PUMP REPAIR,X4-013YH,12/20/2016,12/22/2016,West,NULL,RUNNING PRACTICES
CHAMPLIN 226 B5,WO,p4Ide,4900722306,CLEAN OUT,X4-0145V,2/2/2017,2/6/2017,West,NULL,SAND
CHAMPLIN 226 B5,WO,J5KIc,4900722306,PLUNGER LIFT INSTALL,X4-013RP-E:CH226B5,2/10/2017,2/10/2017,West,NULL,SAND
CHAMPLIN 226 B5,WO,OuOgE,4900722306,SURVEILLANCE,X4-013RT-E:CH226B5,1/20/2017,1/20/2017,West,NULL,SAND
CHAMPLIN 242 J5,WO,X1nLO,4900722090,CLEAN OUT,X4-014CV,4/14/2017,5/6/2017,East,NULL,SAND
CHAMPLIN 242 J5,WO,eXN5g,4900722090,CLEAN OUT - SWAB,X4-01470-E:CH242_J5,7/21/2017,7/21/2017,East,NULL,SAND
CHAMPLIN 242 J5,WO,FS7Hq,4900722090,SURVEILLANCE,x4-01472-E:CH_242_J5,7/31/2017,7/31/2017,East,NULL,SAND
CHAMPLIN 242 J5,WO,YKZUc,4900722090,SURVEILLANCE,X4-01472-E:CH242_J5,3/7/2017,3/7/2017,East,NULL,SAND
